WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.882316 -7.414814 0.0002216166,-2.518391 -7.115955 0.2282879,-3.075489 -6.466506 0.3739427,-3.454866 -5.868111 0.5430701,-3.769142 -5.48918 0.7411025,-2.67239 -4.708627 0.08995085,-2.877511 -3.630788 0.2753283,-3.019063 -2.993549 0.4066162,-3.138489 -2.409711 0.5170922,-2.321345 -4.49753 0.1895068,-2.467913 -3.260092 0.3277142,-2.467913 -3.260092 0.3277142,-2.648185 -1.788677 0.6451702,-1.962682 -4.532755 0.3539391,-2.026288 -3.335742 0.5188858,-2.081408 -2.546699 0.6917223,-2.158648 -1.873987 0.8572637,-1.590951 -4.81999 0.5533347,-1.443497 -3.929858 0.7331555,-1.365446 -3.319024 0.8875118,-1.318727 -2.757092 1.02976,-8.199504 -7.039379 0.000876972,-7.628698 -6.718713 0.277382,-7.163882 -6.064485 0.5238556,-6.83443 -5.472286 0.8073625,-6.493145 -5.145437 1.112256,-7.546489 -4.458887 0.3351358,-7.441386 -3.357744 0.5357776,-7.402789 -2.695715 0.7216024,-7.374724 -2.104072 0.8469034,-7.886683 -4.321673 0.428517,-7.82925 -3.062109 0.6291215,-7.787684 -2.254848 0.8680509,-7.755885 -1.558064 1.042919,-8.216194 -4.416962 0.5476189,-8.189249 -3.225305 0.7658214,-8.151096 -2.459896 0.97677,-8.101412 -1.803123 1.118008,-8.551432 -4.717937 0.6875862,-8.631598 -3.789506 0.9247429,-8.656006 -3.170154 1.093182,-8.657918 -2.577136 1.194042,0.010,31  0
-1.883136 -7.389114 -0.1297065,-2.51668 -7.100206 0.09258069,-3.070819 -6.467117 0.2431479,-3.445076 -5.8728 0.4141202,-3.767696 -5.499065 0.6115496,-2.66954 -4.72686 -0.00213255,-2.877639 -3.637732 0.1827383,-3.016931 -3.000293 0.3047734,-3.132007 -2.413913 0.4096938,-2.320796 -4.512059 0.09853521,-2.467432 -3.246444 0.253314,-2.467432 -3.246444 0.253314,-2.643466 -1.7744 0.5699743,-1.965066 -4.550953 0.2638139,-2.022985 -3.343919 0.4483533,-2.080023 -2.555127 0.62884,-2.154875 -1.886579 0.8015238,-1.600269 -4.843366 0.457166,-1.456473 -3.971143 0.6517544,-1.390409 -3.38364 0.8085694,-1.354627 -2.853972 0.9495873,-8.200768 -7.049793 0.001694703,-7.63778 -6.730903 0.2828208,-7.17203 -6.078434 0.5337211,-6.844006 -5.477945 0.8193394,-6.509329 -5.121537 1.116714,-7.566278 -4.469066 0.3472031,-7.460007 -3.364593 0.5358654,-7.422201 -2.701705 0.7107269,-7.395477 -2.115545 0.8303885,-7.905813 -4.330894 0.4358727,-7.847566 -3.063377 0.6346133,-7.80919 -2.255558 0.8680496,-7.77873 -1.564209 1.042201,-8.231266 -4.428266 0.5496299,-8.205893 -3.233291 0.7612408,-8.167665 -2.463569 0.9687239,-8.117001 -1.809926 1.110374,-8.560445 -4.732536 0.6831913,-8.648416 -3.804677 0.9114652,-8.67697 -3.198711 1.078598,-8.682803 -2.623223 1.180088,0.110,31  0
-1.871252 -7.431695 -0.1030574,-2.491549 -7.097221 0.1419811,-3.0364 -6.46824 0.2983534,-3.412905 -5.879829 0.4690138,-3.721699 -5.531791 0.679156,-2.604126 -4.743553 0.03468268,-2.827423 -3.652025 0.2288091,-2.974107 -3.006608 0.3653404,-3.096331 -2.421705 0.4863812,-2.260261 -4.539983 0.1260639,-2.421596 -3.274475 0.2737879,-2.421596 -3.274475 0.2737879,-2.622766 -1.759603 0.6033446,-1.907969 -4.581077 0.2725497,-1.965902 -3.360978 0.4391331,-2.023264 -2.571012 0.6107277,-2.106285 -1.898666 0.7770849,-1.548901 -4.864355 0.4587346,-1.403211 -3.954058 0.6352426,-1.33127 -3.348833 0.7841243,-1.297109 -2.795293 0.9202335,-8.239139 -7.053297 -0.02365794,-7.686533 -6.739229 0.2634525,-7.227777 -6.097509 0.5195122,-6.903769 -5.494146 0.8033787,-6.570758 -5.160413 1.100541,-7.60676 -4.49487 0.3082694,-7.504394 -3.406887 0.4841617,-7.467162 -2.753082 0.6510885,-7.437305 -2.190517 0.7718555,-7.946692 -4.337774 0.3866251,-7.882586 -3.069554 0.5763127,-7.833914 -2.266483 0.7984177,-7.791005 -1.578023 0.9744725,-8.273945 -4.410065 0.4902895,-8.232861 -3.214772 0.679244,-8.182968 -2.456465 0.8580341,-8.121639 -1.818705 0.9845954,-8.607834 -4.684076 0.6192054,-8.696186 -3.755455 0.8192496,-8.729476 -3.147562 0.9617066,-8.742041 -2.583181 1.054637,0.210,31  0
-1.814415 -7.421896 -0.09598294,-2.436425 -7.101198 0.1270631,-2.972016 -6.430168 0.2544619,-3.343315 -5.824861 0.396087,-3.656164 -5.473346 0.5688398,-2.525708 -4.723135 -0.004850201,-2.747875 -3.608841 0.1519402,-2.893031 -2.956317 0.2669777,-3.01103 -2.365937 0.3799405,-2.179729 -4.520864 0.07066141,-2.330029 -3.2442 0.1968552,-2.330029 -3.2442 0.1968552,-2.512746 -1.715152 0.522135,-1.832602 -4.56273 0.2044646,-1.880442 -3.341579 0.3509939,-1.939879 -2.549148 0.5155358,-2.021571 -1.868689 0.6748296,-1.480437 -4.846746 0.3716064,-1.331224 -3.947597 0.527359,-1.255317 -3.349446 0.6692591,-1.216988 -2.798706 0.8027716,-8.254951 -7.050457 0.02614092,-7.700247 -6.728729 0.3110464,-7.245097 -6.074855 0.5689053,-6.924723 -5.472037 0.8580434,-6.598571 -5.124547 1.157008,-7.641665 -4.459853 0.3452761,-7.544371 -3.371431 0.5180817,-7.50844 -2.723873 0.6905066,-7.479726 -2.163751 0.8172707,-7.979841 -4.317846 0.4310614,-7.920979 -3.056039 0.6162403,-7.876687 -2.261803 0.8414088,-7.836782 -1.580936 1.020508,-8.303746 -4.407217 0.5427563,-8.270334 -3.218346 0.7336341,-8.222565 -2.456728 0.9237943,-8.159631 -1.808583 1.058393,-8.633011 -4.701076 0.6789182,-8.723681 -3.780229 0.8788012,-8.755867 -3.182386 1.025171,-8.765803 -2.621992 1.118718,0.310,31  0
-1.804676 -7.420209 -0.09768548,-2.432905 -7.105876 0.1104672,-2.967855 -6.439069 0.2289258,-3.333111 -5.813024 0.3702869,-3.651389 -5.439352 0.5555577,-2.519676 -4.723481 -0.06322064,-2.74582 -3.647384 0.08472161,-2.880553 -3.000788 0.1842365,-2.981925 -2.399229 0.2777298,-2.172064 -4.517748 0.02404592,-2.307108 -3.236061 0.1368087,-2.307108 -3.236061 0.1368087,-2.452437 -1.733883 0.4284199,-1.826116 -4.559663 0.1786708,-1.857971 -3.337051 0.3017897,-1.900583 -2.549968 0.4756504,-1.96311 -1.871771 0.6417153,-1.477281 -4.846315 0.3664233,-1.337573 -3.949525 0.5015681,-1.269393 -3.344787 0.6459436,-1.233704 -2.784384 0.7823452,-8.287502 -7.08797 0.02136265,-7.720658 -6.771558 0.2774358,-7.270186 -6.116769 0.5141524,-6.958108 -5.498096 0.7889172,-6.633923 -5.150611 1.078841,-7.669915 -4.499269 0.2987497,-7.57583 -3.411863 0.4558589,-7.546152 -2.755614 0.6216942,-7.525859 -2.179471 0.7367931,-8.004647 -4.351136 0.3804452,-7.956695 -3.089813 0.5434015,-7.919365 -2.286615 0.7523714,-7.884629 -1.614876 0.908496,-8.325449 -4.4388 0.4877689,-8.307564 -3.247372 0.6628059,-8.270962 -2.484063 0.847385,-8.218864 -1.850167 0.971308,-8.650367 -4.732696 0.6174747,-8.747298 -3.800739 0.8226799,-8.780422 -3.182533 0.9787791,-8.789549 -2.610033 1.070672,0.410,31  0
-1.810932 -7.417974 -0.01884759,-2.430374 -7.097581 0.2286339,-2.966992 -6.436162 0.3816581,-3.336691 -5.820922 0.5532615,-3.655713 -5.439367 0.7657646,-2.529638 -4.691661 0.0991521,-2.758091 -3.586536 0.2911566,-2.89699 -2.925943 0.435348,-2.999037 -2.320705 0.5563809,-2.18462 -4.49798 0.183747,-2.336258 -3.209688 0.3230376,-2.336258 -3.209688 0.3230376,-2.497646 -1.662665 0.6495144,-1.83487 -4.550316 0.3300901,-1.886561 -3.321641 0.4768058,-1.940885 -2.526427 0.6418164,-2.011914 -1.840372 0.8057887,-1.476069 -4.844173 0.513541,-1.334538 -3.938851 0.6743321,-1.264147 -3.335525 0.8150942,-1.22204 -2.776227 0.9412476,-8.296926 -7.095413 -0.01666,-7.739189 -6.767904 0.2407067,-7.296014 -6.125553 0.4848704,-6.990737 -5.519304 0.7691159,-6.67493 -5.16036 1.06595,-7.689874 -4.513159 0.2607917,-7.600142 -3.410102 0.4293716,-7.566419 -2.754234 0.60496,-7.538428 -2.177915 0.7269228,-8.026167 -4.37034 0.3572004,-7.980496 -3.097118 0.5343883,-7.938489 -2.296827 0.7542492,-7.899673 -1.615329 0.9165989,-8.347092 -4.460994 0.4808079,-8.327713 -3.255537 0.6651879,-8.284098 -2.49093 0.860258,-8.223572 -1.840256 0.9966409,-8.672748 -4.757347 0.6264781,-8.767893 -3.829231 0.8401909,-8.7944 -3.214994 1.000483,-8.792183 -2.634634 1.096967,0.510,31  0
-1.034734 -7.438388 -0.03008124,-1.886243 -7.180696 0.08635993,-2.441986 -6.400899 0.2456219,-2.861777 -5.689746 0.388598,-3.29844 -5.234386 0.5086961,-2.036015 -4.683168 -0.07799982,-2.269624 -3.633247 0.09059039,-2.33516 -2.862706 0.1946204,-2.428845 -2.169518 0.3834153,-1.587569 -4.45113 0.008599654,-1.708055 -3.223131 0.1695081,-1.708055 -3.223131 0.1695081,-1.740949 -1.442647 0.4950365,-1.163126 -4.631984 0.2015531,-1.15462 -3.322822 0.3976395,-1.131864 -2.392217 0.6136422,-1.168636 -1.614126 0.8079967,-0.741467 -4.992739 0.4381629,-0.5346737 -4.02021 0.6116282,-0.4243879 -3.340384 0.822378,-0.3946333 -2.693466 0.9833499,-8.309816 -7.11001 0.001820334,-7.365269 -6.805297 0.257148,-6.849964 -6.0921 0.554445,-5.927456 -5.573245 0.8783336,-5.489136 -5.062322 1.288587,-6.510524 -4.496509 0.4198185,-6.326994 -3.423574 0.4621751,-6.27738 -2.667953 0.7127478,-6.229015 -1.989805 0.9005823,-6.95896 -4.302308 0.4425571,-6.809757 -3.111396 0.6170307,-7.027695 -2.212972 0.9114785,-7.003466 -1.436975 1.128231,-7.398851 -4.534706 0.4551135,-7.50702 -3.287183 0.6631358,-7.508767 -2.431417 0.8968785,-7.446164 -1.701668 1.106094,-7.877107 -4.877363 0.5394052,-8.155407 -3.914579 0.8469799,-8.176016 -3.202093 1.023591,-8.157331 -2.520232 1.129614,0.610,31  0
-1.037935 -7.434172 -0.04803628,-1.885464 -7.178267 0.03317966,-2.435063 -6.388677 0.1734312,-2.848265 -5.688669 0.3070806,-3.273613 -5.245519 0.4073575,-2.017856 -4.669923 -0.1306408,-2.244238 -3.610385 0.03522675,-2.31566 -2.842659 0.1416197,-2.419338 -2.156671 0.3309663,-1.572277 -4.449872 -0.0251501,-1.679653 -3.216585 0.1540707,-1.679653 -3.216585 0.1540707,-1.713938 -1.426921 0.5007489,-1.15322 -4.628545 0.1846684,-1.137159 -3.327976 0.3789574,-1.111248 -2.402303 0.5836995,-1.150269 -1.61988 0.7681324,-0.7361555 -4.97966 0.4381889,-0.5254331 -4.015666 0.5971765,-0.4081225 -3.335497 0.7945122,-0.3681107 -2.687773 0.9465299,-8.319547 -7.113565 0.01518689,-7.370264 -6.821062 0.2445581,-6.859174 -6.091512 0.5212353,-5.945415 -5.571558 0.8340935,-5.515665 -5.067642 1.22876,-6.522791 -4.490741 0.3752288,-6.341905 -3.426881 0.3997079,-6.293666 -2.677973 0.6431503,-6.249729 -2.006899 0.8249068,-6.967793 -4.294747 0.4034301,-6.827351 -3.110041 0.5502051,-7.048668 -2.211816 0.8310161,-7.025183 -1.44349 1.032661,-7.404379 -4.530847 0.421505,-7.522125 -3.287258 0.6116509,-7.52589 -2.430957 0.8407398,-7.464897 -1.70751 1.04401,-7.879574 -4.878112 0.5094566,-8.160247 -3.911545 0.8039837,-8.178539 -3.198036 0.9744986,-8.15555 -2.525749 1.067229,0.710,31  0
-0.9767094 -7.466549 0.05734297,-1.837672 -7.242504 0.2140213,-2.374568 -6.436805 0.3678639,-2.774727 -5.706031 0.5050782,-3.220088 -5.26955 0.5973859,-1.996906 -4.688402 0.0437759,-2.221328 -3.642493 0.2179607,-2.290112 -2.878153 0.3252183,-2.388247 -2.19141 0.5150923,-1.545056 -4.455869 0.1133983,-1.658844 -3.237765 0.284324,-1.658844 -3.237765 0.284324,-1.69695 -1.473135 0.6218426,-1.121957 -4.640996 0.2834447,-1.107622 -3.355572 0.4847844,-1.091928 -2.436273 0.7061105,-1.132459 -1.658027 0.9092935,-0.7010155 -5.007812 0.5050284,-0.5062666 -4.053327 0.688069,-0.4091768 -3.387106 0.9044041,-0.3907328 -2.756222 1.070706,-8.376122 -7.1285 0.01994323,-7.428827 -6.834033 0.2440338,-6.907797 -6.102952 0.5098374,-5.987823 -5.583152 0.8120654,-5.56439 -5.07226 1.191785,-6.559455 -4.508682 0.3617955,-6.372821 -3.453289 0.3790362,-6.325192 -2.712201 0.6093118,-6.283607 -2.048513 0.7823192,-7.007868 -4.307549 0.3890285,-6.861187 -3.14098 0.5372585,-7.100506 -2.252951 0.8290176,-7.082862 -1.485675 1.040875,-7.447867 -4.539648 0.4086815,-7.569346 -3.322063 0.6008194,-7.584767 -2.476714 0.8384874,-7.526857 -1.76247 1.053793,-7.92559 -4.882156 0.4956711,-8.206889 -3.939446 0.7898411,-8.235844 -3.244665 0.9626215,-8.221894 -2.580389 1.063864,0.810,31  0
-1.745098 -7.498531 0.176475,-2.361347 -7.177066 0.4116207,-2.872808 -6.472079 0.5439683,-3.200148 -5.817276 0.7023292,-3.534255 -5.442594 0.9068779,-2.467558 -4.707075 0.2358011,-2.702669 -3.618636 0.3998611,-2.841548 -2.964868 0.5099008,-2.940018 -2.364966 0.6049832,-2.115387 -4.518339 0.3183858,-2.276485 -3.2352 0.4494174,-2.276485 -3.2352 0.4494174,-2.443388 -1.720456 0.7653965,-1.765416 -4.583663 0.469431,-1.82088 -3.358162 0.621599,-1.884809 -2.576327 0.8093598,-1.961221 -1.896103 0.9836277,-1.407429 -4.895231 0.6575948,-1.30058 -3.993174 0.8291543,-1.263074 -3.405263 0.9928064,-1.255965 -2.861735 1.138341,-8.3965 -7.155756 0.04109752,-7.829296 -6.817714 0.3333125,-7.380512 -6.155576 0.584255,-7.084484 -5.54034 0.8672159,-6.773036 -5.16315 1.152395,-7.771735 -4.55723 0.319285,-7.678512 -3.483055 0.5014198,-7.648647 -2.845376 0.6838413,-7.626443 -2.279803 0.8101941,-8.116261 -4.410589 0.3819288,-8.075194 -3.201196 0.5609131,-8.057687 -2.452305 0.7881626,-8.042122 -1.806403 0.9562858,-8.438864 -4.48528 0.4801593,-8.431606 -3.346712 0.6652328,-8.4119 -2.631809 0.8471266,-8.377953 -2.023616 0.9669516,-8.769034 -4.754167 0.6009886,-8.849534 -3.853293 0.7950842,-8.878016 -3.258029 0.934791,-8.88448 -2.691539 1.015678,0.910,31  0
-1.709517 -7.587894 0.2421048,-2.316948 -7.239994 0.4552032,-2.813712 -6.508304 0.5711352,-3.126763 -5.814632 0.7214059,-3.448833 -5.362661 0.9183781,-2.407043 -4.770777 0.2271771,-2.640541 -3.698754 0.3582882,-2.776021 -3.058286 0.4422752,-2.869574 -2.467838 0.518803,-2.064585 -4.58447 0.3136293,-2.201788 -3.304424 0.4166482,-2.201788 -3.304424 0.4166482,-2.350368 -1.81561 0.6934135,-1.721403 -4.644533 0.4732476,-1.757681 -3.410644 0.5944455,-1.816125 -2.640238 0.779059,-1.884737 -1.968708 0.9489645,-1.368864 -4.942461 0.6694119,-1.270171 -4.018913 0.8169006,-1.243459 -3.425369 0.9838175,-1.248005 -2.883197 1.135539,-8.428041 -7.173828 0.01995376,-7.861216 -6.832857 0.318467,-7.419541 -6.161491 0.5688605,-7.138407 -5.547077 0.8473107,-6.847161 -5.166776 1.122482,-7.813052 -4.573937 0.3198863,-7.724542 -3.512047 0.5172668,-7.696517 -2.883054 0.7036074,-7.674716 -2.318191 0.8320077,-8.158598 -4.436132 0.3797478,-8.126273 -3.255022 0.5610893,-8.10792 -2.526246 0.7844676,-8.088728 -1.883106 0.9462547,-8.483317 -4.521837 0.4770804,-8.481394 -3.397887 0.6634595,-8.465382 -2.699366 0.8487056,-8.437725 -2.096736 0.9700432,-8.813137 -4.798625 0.5935573,-8.893397 -3.916394 0.7872378,-8.921074 -3.327936 0.9296157,-8.928728 -2.76546 1.014902,1.010,31  0
-1.66493 -7.613632 0.1324374,-2.285167 -7.262243 0.3007629,-2.781559 -6.524938 0.4038631,-3.099396 -5.841304 0.5523553,-3.433619 -5.388113 0.751017,-2.381551 -4.823046 0.1086773,-2.605668 -3.730733 0.2559155,-2.738508 -3.074434 0.3537176,-2.828876 -2.469607 0.4332519,-2.042696 -4.645307 0.2291486,-2.197362 -3.342851 0.3565473,-2.197362 -3.342851 0.3565473,-2.369273 -1.854695 0.6466884,-1.698551 -4.705126 0.4254696,-1.748333 -3.441316 0.5736324,-1.817587 -2.656518 0.770898,-1.888372 -1.970236 0.9556817,-1.34136 -5.003978 0.6493765,-1.259796 -4.058955 0.8178814,-1.251659 -3.447317 0.9983488,-1.265408 -2.879556 1.16754,-8.480536 -7.22145 -0.01681709,-7.935086 -6.86794 0.29209,-7.490569 -6.197885 0.5426033,-7.209448 -5.591177 0.8167521,-6.915714 -5.204214 1.096878,-7.910335 -4.610097 0.2486787,-7.803486 -3.569494 0.4298001,-7.766491 -2.955298 0.6033567,-7.743827 -2.390991 0.7256957,-8.256701 -4.484611 0.296946,-8.225859 -3.374679 0.4424702,-8.219569 -2.708197 0.63899,-8.212888 -2.131911 0.7819377,-8.575375 -4.569511 0.3925368,-8.583031 -3.502347 0.5501311,-8.587791 -2.847497 0.7369704,-8.576223 -2.281841 0.8686054,-8.897821 -4.841182 0.5113302,-8.974398 -4.000905 0.6757588,-9.006316 -3.434949 0.8076437,-9.011992 -2.897452 0.8994765,1.110,31  0
-1.663525 -7.620264 0.1544174,-2.270223 -7.264226 0.3704219,-2.758604 -6.552343 0.4968452,-3.063028 -5.867069 0.6687891,-3.387975 -5.394636 0.8953586,-2.367327 -4.820627 0.1947341,-2.601135 -3.747942 0.347284,-2.740011 -3.098749 0.438358,-2.840884 -2.49706 0.5085547,-2.023792 -4.644887 0.2879417,-2.181918 -3.346543 0.4144741,-2.181918 -3.346543 0.4144741,-2.357851 -1.880968 0.6908342,-1.683137 -4.703983 0.4560625,-1.734099 -3.456087 0.6033038,-1.800679 -2.679492 0.8009615,-1.87497 -2.002926 0.9814923,-1.336227 -4.99555 0.6564898,-1.256709 -4.062322 0.8211678,-1.249737 -3.456377 0.9969071,-1.267242 -2.899381 1.155969,-8.528556 -7.27028 -0.07938306,-7.973199 -6.903139 0.2331542,-7.52806 -6.228097 0.4644827,-7.240896 -5.60303 0.7101006,-6.943222 -5.18016 0.9562407,-7.952078 -4.67265 0.1653745,-7.834714 -3.648143 0.3399112,-7.794942 -3.046766 0.5083835,-7.769865 -2.498059 0.6227879,-8.313962 -4.547243 0.2021585,-8.299202 -3.49579 0.3418972,-8.316645 -2.904001 0.5349377,-8.330902 -2.437148 0.6710142,-8.637855 -4.640717 0.2939536,-8.66813 -3.638435 0.4294666,-8.682142 -3.050892 0.6111194,-8.674864 -2.562631 0.7397699,-8.951982 -4.920881 0.4090125,-9.031597 -4.137928 0.5718392,-9.061291 -3.611445 0.7177133,-9.056059 -3.116229 0.8272808,1.210,31  0
-1.642301 -7.656774 0.1300357,-2.261999 -7.298905 0.3326316,-2.755959 -6.58875 0.4522583,-3.055831 -5.899271 0.6199551,-3.374792 -5.415845 0.8411728,-2.364866 -4.869535 0.1268664,-2.593121 -3.790893 0.2665937,-2.721916 -3.143186 0.3505507,-2.812433 -2.533845 0.4153234,-2.018318 -4.68889 0.2247771,-2.178234 -3.39867 0.3386856,-2.178234 -3.39867 0.3386856,-2.348206 -1.9402 0.6037918,-1.674441 -4.742639 0.4025774,-1.720903 -3.50377 0.5391378,-1.782254 -2.725081 0.7379917,-1.847698 -2.042222 0.9202355,-1.32113 -5.032741 0.6109833,-1.248248 -4.098909 0.7711589,-1.247998 -3.501744 0.947193,-1.268678 -2.955136 1.108282,-8.582885 -7.209793 -0.3325649,-8.038042 -6.909574 0.01870644,-7.600909 -6.243591 0.2605515,-7.311265 -5.634933 0.50372,-7.021968 -5.140445 0.7533888,-8.007144 -4.666927 -0.1368769,-7.881807 -3.711756 0.01330677,-7.858334 -3.136582 0.1927683,-7.841575 -2.623118 0.3095229,-8.376584 -4.553007 -0.1144633,-8.387665 -3.627449 0.05855376,-8.436632 -3.19559 0.312803,-8.455648 -2.96646 0.491097,-8.704013 -4.659343 -0.02388757,-8.760324 -3.815769 0.1239337,-8.778456 -3.381272 0.3748567,-8.755316 -3.112192 0.5520396,-9.013544 -4.935755 0.1014356,-9.086707 -4.257616 0.2851943,-9.111754 -3.843767 0.501711,-9.074661 -3.506197 0.674374,1.310,31  0
-1.644322 -7.701145 0.1258348,-2.256326 -7.350608 0.3757457,-2.743878 -6.636152 0.5160626,-3.033704 -5.928206 0.6959926,-3.340752 -5.396005 0.928344,-2.352573 -4.913611 0.1871777,-2.580008 -3.823546 0.3455269,-2.714778 -3.156265 0.4408005,-2.806036 -2.53271 0.5157413,-2.005798 -4.73419 0.2597473,-2.168836 -3.432322 0.3889807,-2.168836 -3.432322 0.3889807,-2.343576 -1.955887 0.6583931,-1.662446 -4.787866 0.4123276,-1.714326 -3.547047 0.5523084,-1.778865 -2.763431 0.7506215,-1.844748 -2.079957 0.9393378,-1.31057 -5.073255 0.5956168,-1.240711 -4.115726 0.7606061,-1.239167 -3.501316 0.9477512,-1.258296 -2.942683 1.11184,-8.604908 -7.203559 -0.4592698,-8.055187 -6.958035 -0.06813252,-7.647013 -6.286844 0.1558656,-7.415381 -5.65214 0.3748429,-7.178869 -5.128934 0.5855135,-8.050251 -4.688398 -0.2957773,-7.928535 -3.786778 -0.1819488,-7.915274 -3.20328 0.01113987,-7.918653 -2.717533 0.1784068,-8.414598 -4.577545 -0.3036553,-8.425053 -3.669593 -0.1409368,-8.480292 -3.274123 0.1681185,-8.530985 -3.164325 0.4095296,-8.741235 -4.699169 -0.2442789,-8.803008 -3.871963 -0.09808815,-8.818625 -3.469993 0.2170492,-8.810854 -3.304151 0.4608689,-9.055947 -5.004727 -0.1480144,-9.140723 -4.327915 0.05591434,-9.162563 -3.971577 0.3169863,-9.127563 -3.769476 0.5272743,1.410,31  0
-0.8559694 -7.712882 0.1524704,-1.705582 -7.434416 0.3209815,-2.204565 -6.613749 0.5007747,-2.515722 -5.781588 0.6591878,-2.874485 -5.07392 0.7964943,-1.854392 -4.895717 0.09469765,-2.082681 -3.860477 0.2358969,-2.141661 -3.107913 0.3165811,-2.221644 -2.42979 0.4660464,-1.401459 -4.670787 0.1457658,-1.517281 -3.442729 0.2796871,-1.517281 -3.442729 0.2796871,-1.541236 -1.726835 0.5650764,-0.9776711 -4.857841 0.3022668,-0.9770703 -3.546197 0.4670959,-0.9711146 -2.625597 0.6918672,-1.010854 -1.853649 0.916033,-0.549499 -5.198041 0.5143313,-0.4187179 -4.194153 0.6691637,-0.3577394 -3.513023 0.9024468,-0.3791184 -2.8834 1.098186,-8.617098 -7.210392 -0.5422947,-7.683409 -7.011692 -0.1952969,-7.225195 -6.273633 0.05647454,-6.395193 -5.719723 0.2982169,-6.056883 -5.022168 0.6061497,-6.872512 -4.774477 -0.3671396,-6.679896 -3.809545 -0.3284948,-6.621909 -3.124797 -0.05620311,-6.591974 -2.567358 0.1945263,-7.326397 -4.60534 -0.4077894,-7.278566 -3.628904 -0.2588966,-7.550014 -3.183757 0.136461,-7.594198 -3.063062 0.4879242,-7.797899 -4.792896 -0.4317541,-7.992548 -3.862419 -0.2936747,-8.049952 -3.384272 0.05810585,-8.012661 -3.198902 0.393616,-8.259171 -5.149058 -0.3822646,-8.541111 -4.409184 -0.1365178,-8.547089 -3.967441 0.1367147,-8.483595 -3.706932 0.3917466,1.510,31  0
-0.8603067 -7.889419 0.1959682,-1.687721 -7.543157 0.3922927,-2.140231 -6.700847 0.5883787,-2.326407 -5.791794 0.7609769,-2.453419 -4.988443 0.8632929,-1.825655 -5.003217 0.1091596,-2.054703 -4.085669 0.322452,-2.148146 -3.442043 0.4530716,-2.241175 -2.899745 0.6065643,-1.342371 -4.816144 0.185654,-1.486477 -3.685249 0.3180714,-1.486477 -3.685249 0.3180714,-1.514781 -2.000251 0.6699018,-0.9244962 -5.032399 0.3158393,-0.9568496 -3.845311 0.4871646,-0.9655151 -3.016725 0.7465951,-1.010248 -2.286757 0.9883007,-0.4922919 -5.403207 0.4772936,-0.4035125 -4.444923 0.6798491,-0.3684711 -3.802191 0.9323338,-0.4134688 -3.17145 1.138527,-8.643648 -7.197137 -0.5623901,-7.711786 -7.006126 -0.2234645,-7.251065 -6.276327 0.01414091,-6.429557 -5.732117 0.2474196,-6.102348 -5.03477 0.5412932,-6.886723 -4.775681 -0.4094068,-6.689417 -3.810621 -0.389555,-6.618849 -3.144839 -0.1433081,-6.573881 -2.60156 0.08824664,-7.343875 -4.613346 -0.4583441,-7.303706 -3.638544 -0.3732461,-7.579344 -3.1485 -0.02817218,-7.637036 -2.969291 0.3019112,-7.817881 -4.784101 -0.4883891,-8.003881 -3.885419 -0.3959212,-8.077257 -3.391357 -0.07178278,-8.0567 -3.211549 0.2654568,-8.288033 -5.146276 -0.4453358,-8.566481 -4.412727 -0.2315826,-8.577657 -3.971903 0.02615818,-8.528147 -3.717649 0.2818493,1.610,31  0
