WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.434572 -8.435438 0.001263244,-2.136916 -8.13479 0.2576845,-2.802681 -7.336347 0.3951145,-3.263216 -6.582334 0.5743719,-3.690971 -6.107396 0.7885932,-2.455849 -5.485003 0.07764049,-2.764265 -4.307701 0.2305992,-2.918211 -3.595682 0.3370783,-3.025903 -2.899623 0.4425378,-2.099356 -5.190416 0.1695997,-2.33713 -3.801595 0.3950944,-2.33713 -3.801595 0.3950944,-2.535898 -2.149915 0.7561522,-1.717786 -5.164657 0.3412046,-1.875766 -3.804648 0.5878094,-1.998609 -2.958304 0.8081091,-2.105537 -2.193168 0.9846638,-1.303926 -5.376878 0.5456839,-1.313804 -4.293512 0.7560713,-1.350514 -3.626729 0.9533856,-1.40341 -2.986809 1.130844,-9.587239 -8.756601 0.000481801,-8.813904 -8.325825 0.1770087,-8.105089 -7.38941 0.3373598,-7.660913 -6.470291 0.5754956,-7.293171 -5.877081 0.8185744,-8.441772 -5.212649 -0.1350697,-8.231554 -3.936424 -0.05461892,-8.137064 -3.122303 0.1145473,-8.067707 -2.432236 0.2527592,-8.851624 -4.93287 -0.0332792,-8.638895 -3.4359 -0.02871051,-8.530516 -2.480642 0.199673,-8.446113 -1.632106 0.3854671,-9.265992 -4.960306 0.1115432,-9.107124 -3.543534 0.1514552,-8.993116 -2.667369 0.3207118,-8.877335 -1.937183 0.4593569,-9.711327 -5.261541 0.2910253,-9.722172 -4.191353 0.3762573,-9.697521 -3.519536 0.4728706,-9.639516 -2.906605 0.543422,0.010, 10
-1.443863 -8.469437 0.05741723,-2.157161 -8.155441 0.2950425,-2.815398 -7.345198 0.4145666,-3.268599 -6.57943 0.5812801,-3.704687 -6.098781 0.780857,-2.45225 -5.491954 0.1032551,-2.764279 -4.310691 0.249654,-2.919785 -3.602994 0.3465555,-3.027225 -2.914055 0.4433457,-2.097753 -5.204711 0.202545,-2.328853 -3.820657 0.4245272,-2.328853 -3.820657 0.4245272,-2.524784 -2.169083 0.7932571,-1.720289 -5.186342 0.3813454,-1.867251 -3.829195 0.6336068,-1.991267 -2.971763 0.8635683,-2.097359 -2.197628 1.048248,-1.313571 -5.413499 0.5896177,-1.313609 -4.340772 0.8072542,-1.348997 -3.669754 1.010218,-1.396008 -3.027279 1.189756,-9.614736 -8.739502 -0.05838529,-8.82679 -8.340464 0.1338707,-8.106844 -7.404049 0.2809887,-7.656475 -6.472417 0.5009167,-7.284937 -5.892821 0.7195494,-8.439476 -5.222902 -0.2128713,-8.230585 -3.907838 -0.1473677,-8.139506 -3.077866 0.01430961,-8.07516 -2.38136 0.1459402,-8.857732 -4.937842 -0.1404755,-8.64112 -3.423062 -0.176602,-8.531528 -2.47298 0.03362253,-8.449477 -1.630355 0.2189485,-9.275208 -4.950925 -0.02473215,-9.112493 -3.531037 -0.02375158,-8.999551 -2.669754 0.1260634,-8.889162 -1.947466 0.2594834,-9.717922 -5.22683 0.1284411,-9.711953 -4.156692 0.1761813,-9.688275 -3.501201 0.245531,-9.635784 -2.901493 0.3076794,0.110, 10
-1.44428 -8.466925 0.05461713,-2.151636 -8.159954 0.300949,-2.810373 -7.342752 0.4384543,-3.268311 -6.584249 0.620707,-3.703871 -6.117696 0.8421058,-2.454044 -5.487759 0.1528675,-2.760936 -4.310277 0.3132351,-2.914385 -3.602886 0.4201415,-3.021084 -2.908354 0.5235912,-2.098073 -5.206168 0.2590783,-2.33482 -3.823761 0.4991923,-2.33482 -3.823761 0.4991923,-2.537639 -2.17607 0.8779944,-1.717311 -5.197875 0.4415181,-1.869049 -3.832571 0.7102378,-1.996675 -2.982001 0.9473718,-2.104491 -2.20757 1.136893,-1.305239 -5.432188 0.6549808,-1.310923 -4.347904 0.8833027,-1.348487 -3.673291 1.096453,-1.396626 -3.02114 1.287492,-9.603168 -8.782385 -0.01401564,-8.827995 -8.364956 0.1879599,-8.115644 -7.439893 0.3651851,-7.662257 -6.522005 0.6139734,-7.297359 -5.915484 0.8614683,-8.446331 -5.254156 -0.1394217,-8.226115 -3.970729 -0.06439897,-8.125365 -3.155086 0.09707464,-8.047317 -2.46393 0.2323233,-8.859133 -4.964525 -0.05307897,-8.638934 -3.449737 -0.05223621,-8.520472 -2.489037 0.1671562,-8.425205 -1.639616 0.3466926,-9.273263 -4.988727 0.07885035,-9.1084 -3.559686 0.1084644,-8.98508 -2.678456 0.2706024,-8.860118 -1.945992 0.4032908,-9.713199 -5.292049 0.2444287,-9.723886 -4.208482 0.3283052,-9.699825 -3.528832 0.4276878,-9.643527 -2.910409 0.5000082,0.210, 10
-1.429485 -8.459833 0.03074267,-2.143079 -8.160591 0.2724986,-2.805794 -7.351993 0.3993911,-3.262098 -6.593653 0.5734671,-3.69871 -6.119802 0.7880374,-2.453693 -5.498235 0.07384303,-2.762061 -4.323569 0.2188224,-2.913512 -3.620725 0.3217028,-3.016933 -2.9309 0.4251784,-2.097801 -5.20593 0.1790446,-2.337086 -3.819346 0.4001134,-2.337086 -3.819346 0.4001134,-2.535803 -2.169052 0.7676194,-1.715677 -5.188447 0.3650154,-1.870888 -3.824565 0.6149575,-1.995343 -2.970117 0.8453518,-2.100637 -2.1969 1.026448,-1.300232 -5.417937 0.5843871,-1.307099 -4.33875 0.7994964,-1.344059 -3.671148 1.002992,-1.39241 -3.025876 1.188363,-9.598662 -8.770346 0.03065402,-8.807915 -8.352764 0.2064626,-8.090012 -7.419376 0.3629645,-7.637554 -6.493967 0.599975,-7.280048 -5.881116 0.835549,-8.437691 -5.218136 -0.1652633,-8.227634 -3.925466 -0.09937893,-8.134978 -3.104088 0.06853185,-8.06609 -2.408959 0.2075714,-8.855392 -4.940601 -0.07485764,-8.644691 -3.434756 -0.1078806,-8.535359 -2.48417 0.1032087,-8.449517 -1.644205 0.2865213,-9.274518 -4.966921 0.06197104,-9.117029 -3.556959 0.06619248,-9.005132 -2.694046 0.2131615,-8.891567 -1.975873 0.3402263,-9.723763 -5.259512 0.2373455,-9.721723 -4.18678 0.2926744,-9.693685 -3.524659 0.3648034,-9.634832 -2.926744 0.4236282,0.310, 10
-1.441943 -8.454086 0.004543733,-2.153792 -8.148508 0.2161349,-2.813183 -7.332929 0.3306552,-3.266094 -6.579647 0.4979382,-3.687178 -6.107906 0.7011918,-2.458892 -5.495569 0.04556027,-2.768256 -4.309489 0.1924883,-2.923892 -3.603609 0.2890452,-3.032896 -2.917372 0.3856283,-2.108239 -5.207893 0.1627734,-2.341391 -3.809613 0.3976597,-2.341391 -3.809613 0.3976597,-2.540664 -2.16208 0.747824,-1.731689 -5.184967 0.359657,-1.886082 -3.809265 0.6188263,-2.011265 -2.959795 0.8377904,-2.118147 -2.194925 1.01036,-1.322418 -5.401994 0.5841627,-1.326272 -4.30529 0.8036836,-1.359262 -3.635763 1.003309,-1.406672 -2.991248 1.177385,-9.612327 -8.782887 -0.05737348,-8.80703 -8.384647 0.09662491,-8.081064 -7.46388 0.2410615,-7.631086 -6.541463 0.4695799,-7.270461 -5.926683 0.6948085,-8.418523 -5.273298 -0.2468941,-8.202581 -3.9728 -0.1800577,-8.110312 -3.153073 -0.009792373,-8.040545 -2.462585 0.1267252,-8.839869 -4.984205 -0.1475393,-8.626388 -3.461396 -0.1835406,-8.518228 -2.515068 0.03013613,-8.433928 -1.677931 0.2128117,-9.261647 -4.998666 -0.002826586,-9.104079 -3.572371 0.003044456,-8.99459 -2.70783 0.1637897,-8.880055 -1.992879 0.3035832,-9.711106 -5.273426 0.1740661,-9.703369 -4.187683 0.2276544,-9.669203 -3.528368 0.302067,-9.602538 -2.944721 0.3648038,0.410, 10
-1.458027 -8.462269 0.05103959,-2.166922 -8.142216 0.2930461,-2.822388 -7.327334 0.4215293,-3.269606 -6.572544 0.6004966,-3.695609 -6.091213 0.8129426,-2.460176 -5.478821 0.1065216,-2.771664 -4.299215 0.2637019,-2.922688 -3.593206 0.3706227,-3.02547 -2.903745 0.4736562,-2.107538 -5.199449 0.2157526,-2.347038 -3.814929 0.4537999,-2.347038 -3.814929 0.4537999,-2.544825 -2.160923 0.8297756,-1.729298 -5.186953 0.4064496,-1.887848 -3.824282 0.6735196,-2.014024 -2.965831 0.9057916,-2.123227 -2.183766 1.088463,-1.318014 -5.418142 0.6274972,-1.326123 -4.332659 0.8559456,-1.364797 -3.658533 1.065365,-1.416442 -3.010136 1.247485,-9.595065 -8.770239 -0.03506359,-8.801063 -8.393826 0.1574868,-8.078562 -7.462287 0.3175586,-7.632059 -6.524312 0.550134,-7.277796 -5.899724 0.7837869,-8.414187 -5.251935 -0.2057498,-8.203487 -3.96183 -0.1469617,-8.106068 -3.144001 0.01264641,-8.030955 -2.461591 0.1405289,-8.832162 -4.963218 -0.1304384,-8.616506 -3.441762 -0.1680554,-8.497464 -2.490013 0.03560716,-8.398336 -1.652194 0.2064098,-9.250232 -4.980314 -0.008718021,-9.087082 -3.551195 -0.00681123,-8.966151 -2.679634 0.1382893,-8.840457 -1.957093 0.263206,-9.693858 -5.269765 0.1486288,-9.698693 -4.187086 0.2045631,-9.67597 -3.5147 0.2825166,-9.616364 -2.910057 0.3424583,0.510, 10
-1.451353 -8.458921 0.05412732,-2.16731 -8.138945 0.3037151,-2.815333 -7.342741 0.4396909,-3.258031 -6.580453 0.6247364,-3.682524 -6.081549 0.8419634,-2.447686 -5.471578 0.1222677,-2.773708 -4.295736 0.2697886,-2.933702 -3.597105 0.3687574,-3.041996 -2.914077 0.4733437,-2.096843 -5.194623 0.2229741,-2.340199 -3.808283 0.4489912,-2.340199 -3.808283 0.4489912,-2.53787 -2.156611 0.8277448,-1.72335 -5.186132 0.4028788,-1.877029 -3.829813 0.6611114,-2.005471 -2.975661 0.9006734,-2.113856 -2.198752 1.093594,-1.317497 -5.422838 0.6120101,-1.320195 -4.349 0.8444742,-1.362648 -3.680628 1.060848,-1.418184 -3.040629 1.242769,-9.614862 -8.773369 -0.02311234,-8.816734 -8.391474 0.1548943,-8.09444 -7.459761 0.3077927,-7.642834 -6.521547 0.5402395,-7.283346 -5.892545 0.7687853,-8.427827 -5.254825 -0.2312257,-8.212734 -3.960867 -0.1780407,-8.115426 -3.136247 -0.01816248,-8.041301 -2.445876 0.1117669,-8.841711 -4.965798 -0.1479447,-8.627483 -3.441428 -0.1961443,-8.510449 -2.487461 0.006191034,-8.416306 -1.6441 0.1824014,-9.256036 -4.975088 -0.014456,-9.097235 -3.547034 -0.02244941,-8.977372 -2.67984 0.1179795,-8.855042 -1.961715 0.2418472,-9.697133 -5.251844 0.1530796,-9.702814 -4.159687 0.1980934,-9.682197 -3.486643 0.2641188,-9.630155 -2.883483 0.3168808,0.610, 10
-1.432321 -8.442839 0.00731024,-2.144799 -8.116272 0.229183,-2.801169 -7.296881 0.355783,-3.25423 -6.542708 0.532486,-3.678511 -6.058321 0.7505888,-2.449498 -5.475154 0.06886582,-2.756755 -4.297136 0.2251541,-2.91092 -3.591287 0.3317107,-3.015982 -2.899467 0.4342517,-2.098316 -5.196805 0.1855643,-2.333524 -3.805673 0.4248382,-2.333524 -3.805673 0.4248382,-2.531202 -2.149008 0.8055665,-1.719651 -5.181712 0.3790613,-1.873315 -3.812933 0.6396934,-1.996607 -2.960749 0.8778909,-2.100387 -2.187372 1.071042,-1.309793 -5.406821 0.6014408,-1.31554 -4.317689 0.8259224,-1.353081 -3.646016 1.038084,-1.406638 -3.00341 1.230044,-9.614492 -8.775681 0.009485054,-8.819586 -8.376387 0.1907311,-8.101116 -7.454918 0.3542446,-7.653131 -6.522872 0.592303,-7.295492 -5.893203 0.8254716,-8.426975 -5.246801 -0.1574821,-8.209038 -3.970167 -0.09834883,-8.109109 -3.156066 0.05551568,-8.032177 -2.473269 0.1794027,-8.843957 -4.957063 -0.07893187,-8.627521 -3.445921 -0.1078543,-8.509302 -2.491694 0.1006011,-8.413083 -1.645129 0.2770194,-9.260665 -4.973979 0.04362665,-9.100905 -3.555426 0.04622546,-8.981271 -2.684576 0.1858367,-8.858809 -1.96925 0.3068107,-9.702522 -5.264732 0.2011597,-9.704875 -4.184148 0.2506136,-9.6763 -3.513898 0.3224831,-9.616588 -2.920617 0.376083,0.710, 10
-1.428951 -8.46069 0.04624207,-2.137969 -8.1485 0.2887253,-2.797583 -7.337608 0.4239778,-3.257393 -6.591449 0.6071119,-3.690697 -6.120296 0.8282334,-2.44661 -5.485021 0.119701,-2.756737 -4.302461 0.2852879,-2.910918 -3.586268 0.3986931,-3.015182 -2.88657 0.510352,-2.093496 -5.203159 0.2271546,-2.33604 -3.814403 0.4668886,-2.33604 -3.814403 0.4668886,-2.541257 -2.155448 0.8474489,-1.713293 -5.187747 0.4124089,-1.872705 -3.825139 0.67897,-2.000257 -2.970635 0.9190927,-2.108778 -2.194555 1.109855,-1.301122 -5.415098 0.6287397,-1.313984 -4.327917 0.8603323,-1.355486 -3.654127 1.076824,-1.408592 -3.008375 1.269191,-9.609318 -8.781099 0.03996698,-8.816422 -8.378586 0.2051575,-8.101022 -7.44503 0.3567937,-7.6588 -6.509168 0.5901442,-7.298904 -5.89969 0.8183312,-8.432015 -5.232454 -0.1503373,-8.22298 -3.934647 -0.08611366,-8.132549 -3.114782 0.0776884,-8.066785 -2.423469 0.2105862,-8.851075 -4.951362 -0.05850074,-8.638449 -3.436175 -0.08763018,-8.528409 -2.48933 0.1197847,-8.444675 -1.647403 0.2986853,-9.270463 -4.971718 0.07825741,-9.11455 -3.554438 0.08780716,-9.000546 -2.689207 0.2365484,-8.885799 -1.96712 0.3621525,-9.718042 -5.259426 0.2534679,-9.717311 -4.184112 0.3056439,-9.689889 -3.52292 0.3767067,-9.630814 -2.925996 0.4362417,0.810, 10
-1.44364 -8.458189 0.002329674,-2.155893 -8.135134 0.2255674,-2.811382 -7.333742 0.3562892,-3.270897 -6.590461 0.5375909,-3.699347 -6.122592 0.7541236,-2.451976 -5.490039 0.06760279,-2.761669 -4.303587 0.2296105,-2.912259 -3.588242 0.3414289,-3.012081 -2.89011 0.4497873,-2.098982 -5.211525 0.1815622,-2.340446 -3.813776 0.4246598,-2.340446 -3.813776 0.4246598,-2.537466 -2.152002 0.7970383,-1.72021 -5.195686 0.3738835,-1.878492 -3.825222 0.6394833,-2.00252 -2.966152 0.8711298,-2.107396 -2.189632 1.055585,-1.309969 -5.419323 0.5917268,-1.317852 -4.326675 0.8188893,-1.357585 -3.652981 1.027175,-1.41061 -3.007532 1.208181,-9.614503 -8.805658 0.07179752,-8.818192 -8.382105 0.2373201,-8.098658 -7.451688 0.3946375,-7.644404 -6.535549 0.6346629,-7.28573 -5.92001 0.8677151,-8.444342 -5.242557 -0.1273429,-8.230339 -3.944289 -0.06968226,-8.134201 -3.12284 0.09044592,-8.062984 -2.430381 0.2257669,-8.858679 -4.966294 -0.03053156,-8.647363 -3.452628 -0.0580624,-8.535132 -2.499105 0.1569146,-8.445694 -1.659487 0.3372835,-9.275656 -4.992209 0.1132985,-9.117105 -3.569501 0.1211104,-8.998014 -2.693638 0.2791921,-8.878377 -1.974322 0.4134013,-9.722467 -5.289632 0.2934245,-9.724535 -4.20271 0.3512751,-9.692707 -3.533453 0.4352927,-9.631052 -2.937525 0.5040395,0.910, 10
-1.424432 -8.506102 0.04525221,-2.134046 -8.183121 0.3285219,-2.7982 -7.384267 0.4930339,-3.260799 -6.631349 0.690421,-3.704763 -6.144847 0.9263967,-2.439208 -5.53486 0.2028824,-2.749297 -4.331888 0.3882276,-2.9052 -3.605674 0.5222036,-3.013882 -2.896923 0.6471293,-2.077582 -5.250957 0.2929494,-2.319222 -3.848171 0.5582016,-2.319222 -3.848171 0.5582016,-2.523286 -2.155561 0.9749535,-1.693332 -5.23765 0.4594809,-1.849901 -3.855434 0.7426264,-1.977123 -2.987493 1.000022,-2.08566 -2.199035 1.204998,-1.281148 -5.470132 0.6588984,-1.293986 -4.368795 0.9013485,-1.335258 -3.68291 1.124621,-1.387583 -3.017116 1.324496,-9.634799 -8.785162 0.01639002,-8.849361 -8.392488 0.2463388,-8.126967 -7.467657 0.434718,-7.678019 -6.527048 0.6918924,-7.309883 -5.88902 0.9394098,-8.453601 -5.256404 -0.09526384,-8.231789 -3.962295 -0.009438911,-8.130042 -3.133447 0.1575418,-8.051383 -2.435323 0.2944737,-8.872999 -4.961951 -0.02161717,-8.655409 -3.435155 -0.02455202,-8.539315 -2.475025 0.1902824,-8.44482 -1.624457 0.3666935,-9.291631 -4.980371 0.1055067,-9.127958 -3.53869 0.134964,-9.006669 -2.664884 0.2997801,-8.881633 -1.930612 0.4351885,-9.737937 -5.276634 0.2685621,-9.742827 -4.196256 0.3514948,-9.71346 -3.526235 0.4475865,-9.649013 -2.917381 0.5220647,1.010, 10
-1.413818 -8.500891 0.05354109,-2.115968 -8.175943 0.2945118,-2.774693 -7.370209 0.4404119,-3.23735 -6.634738 0.6184042,-3.674194 -6.182875 0.8358788,-2.42111 -5.526561 0.2246915,-2.732269 -4.316101 0.3968165,-2.894432 -3.59038 0.5194004,-3.009275 -2.887008 0.6418843,-2.059058 -5.244052 0.3305272,-2.296297 -3.826448 0.6045188,-2.296297 -3.826448 0.6045188,-2.498899 -2.129685 1.015909,-1.673388 -5.229009 0.5033892,-1.833901 -3.844514 0.7902467,-1.957844 -2.988826 1.037763,-2.063657 -2.215094 1.239739,-1.260963 -5.449092 0.70604,-1.268565 -4.348293 0.9528048,-1.302365 -3.669868 1.169151,-1.353519 -3.012323 1.365084,-9.627472 -8.82033 0.02153442,-8.82997 -8.415016 0.2064398,-8.109568 -7.479052 0.3679649,-7.65623 -6.549299 0.6056734,-7.285172 -5.954099 0.8379694,-8.453246 -5.285411 -0.1126816,-8.234035 -3.967894 -0.0312187,-8.131891 -3.127937 0.1442577,-8.055343 -2.426957 0.2868466,-8.873479 -4.994137 -0.02098857,-8.653271 -3.448702 -0.02693653,-8.53613 -2.481454 0.2033427,-8.447698 -1.628047 0.3942107,-9.296806 -5.01309 0.1149944,-9.128646 -3.556926 0.142169,-9.007391 -2.669096 0.3111174,-8.886808 -1.926892 0.4553795,-9.749856 -5.306322 0.2842509,-9.752461 -4.20462 0.3614234,-9.723499 -3.531135 0.4571512,-9.661384 -2.915666 0.5382033,1.110, 10
-1.336924 -8.566853 0.257584,-2.030696 -8.285658 0.6372418,-2.702273 -7.502403 0.8344433,-3.157684 -6.752552 1.027324,-3.589602 -6.301242 1.250954,-2.350743 -5.563968 0.5929176,-2.638416 -4.338638 0.7851316,-2.793797 -3.60184 0.9301673,-2.905829 -2.903475 1.075393,-1.968541 -5.255188 0.6125605,-2.192855 -3.806217 0.8703345,-2.192855 -3.806217 0.8703345,-2.382169 -2.094302 1.261254,-1.577553 -5.236829 0.7002776,-1.731938 -3.841388 0.9657113,-1.851508 -2.973633 1.202484,-1.957103 -2.211965 1.394886,-1.161808 -5.464607 0.8348965,-1.170063 -4.386271 1.058774,-1.190184 -3.719923 1.260945,-1.22829 -3.086023 1.448957,-9.618613 -9.000736 0.1597842,-8.802059 -8.598246 0.3404151,-8.090987 -7.687805 0.4966443,-7.640079 -6.766164 0.732501,-7.255652 -6.196033 0.9558095,-8.442398 -5.437051 0.07600753,-8.194123 -4.085935 0.1673123,-8.073388 -3.235476 0.3497724,-7.982903 -2.514823 0.4933188,-8.866084 -5.133844 0.1711671,-8.651503 -3.540431 0.1791555,-8.525723 -2.560256 0.4249789,-8.43207 -1.709866 0.6229243,-9.289816 -5.14267 0.3079236,-9.124065 -3.64393 0.3483912,-9.002597 -2.736082 0.5240384,-8.885378 -1.984441 0.6735829,-9.740116 -5.427686 0.4745973,-9.742662 -4.290012 0.550841,-9.711991 -3.582401 0.6478801,-9.653425 -2.944382 0.7318941,1.210, 10
-1.230176 -8.640619 0.5052107,-1.934546 -8.321598 0.8968815,-2.604635 -7.555101 1.11013,-3.055459 -6.827213 1.322084,-3.486553 -6.41657 1.57315,-2.240497 -5.554889 0.8324,-2.524262 -4.292187 1.017306,-2.663727 -3.536438 1.162857,-2.755702 -2.819376 1.30392,-1.838953 -5.252034 0.8570864,-2.065287 -3.756678 1.105117,-2.065287 -3.756678 1.105117,-2.230381 -2.01353 1.490404,-1.432531 -5.243819 0.9492522,-1.57031 -3.803747 1.209773,-1.781372 -2.952083 1.45106,-1.882539 -2.182257 1.625564,-1.090974 -5.499196 1.134377,-1.089041 -4.39358 1.361829,-1.103361 -3.709504 1.558552,-1.136016 -3.058227 1.740541,-9.620171 -9.120806 0.2395017,-8.791603 -8.733578 0.4084521,-8.072115 -7.816213 0.5552965,-7.616329 -6.883934 0.7829387,-7.217226 -6.326488 0.9987358,-8.40623 -5.543155 0.141481,-8.15463 -4.159433 0.2256821,-8.029554 -3.297513 0.3963692,-7.934304 -2.569736 0.5296418,-8.839293 -5.236372 0.2451986,-8.623799 -3.614604 0.2465459,-8.489962 -2.624576 0.4820802,-8.393512 -1.769454 0.6713345,-9.273538 -5.245026 0.3916712,-9.102377 -3.732474 0.4261741,-8.975086 -2.825075 0.5921848,-8.857985 -2.076796 0.7353544,-9.736052 -5.527402 0.5674988,-9.725647 -4.367376 0.6468044,-9.688116 -3.643545 0.7426607,-9.623974 -2.991606 0.8205332,1.310, 10
-1.200522 -8.669065 0.6518731,-1.889874 -8.32588 1.147985,-2.52972 -7.571798 1.435687,-2.949751 -6.812678 1.716436,-3.353543 -6.307104 2.047422,-2.177733 -5.535444 1.083203,-2.472694 -4.254858 1.315827,-2.607966 -3.489652 1.510336,-2.698187 -2.750441 1.683541,-1.77523 -5.238937 1.067062,-1.993937 -3.722223 1.339779,-1.993937 -3.722223 1.339779,-2.135155 -1.951446 1.767382,-1.374383 -5.241132 1.1288,-1.496697 -3.789096 1.403792,-1.587594 -2.889907 1.673204,-1.677475 -2.093959 1.894081,-0.9502268 -5.48603 1.250253,-0.9353518 -4.364863 1.482557,-0.9327736 -3.662622 1.70666,-0.9603443 -2.979902 1.913388,-9.643649 -9.324976 0.511116,-8.813572 -8.955235 0.7079554,-8.070244 -8.016636 0.8734627,-7.598417 -7.064844 1.115966,-7.186943 -6.547199 1.359356,-8.388476 -5.703031 0.5071314,-8.115555 -4.317995 0.6326805,-7.984657 -3.446289 0.8365067,-7.88807 -2.695186 0.9913445,-8.833534 -5.36848 0.609865,-8.589731 -3.730723 0.6584234,-8.44302 -2.71088 0.9117233,-8.343163 -1.828053 1.121142,-9.282482 -5.365854 0.7552027,-9.09471 -3.829714 0.82166,-8.953494 -2.901512 0.9950573,-8.833614 -2.128759 1.142677,-9.761192 -5.66067 0.9273863,-9.748564 -4.475142 1.021264,-9.710938 -3.750462 1.119842,-9.651643 -3.079119 1.209876,1.410, 10
-1.107398 -8.764225 0.9003169,-1.806135 -8.315298 1.570587,-2.379572 -7.568311 1.992182,-2.687826 -6.774143 2.39674,-3.068691 -6.148998 2.868313,-2.068493 -5.560982 1.647403,-2.368722 -4.240751 2.026285,-2.497217 -3.430126 2.313662,-2.585282 -2.629747 2.558313,-1.620636 -5.300006 1.612445,-1.829332 -3.781797 2.048185,-1.829332 -3.781797 2.048185,-1.971338 -1.977414 2.664462,-1.193933 -5.358152 1.681407,-1.285444 -3.915871 2.08616,-1.361399 -3.003376 2.458589,-1.443111 -2.143758 2.76594,-0.7489328 -5.672456 1.800996,-0.7194815 -4.548084 2.162242,-0.7130051 -3.825511 2.467039,-0.7389755 -3.091849 2.734239,-9.738817 -9.442165 0.6825467,-8.890441 -9.093151 0.9281481,-8.129356 -8.143288 1.132488,-7.652046 -7.191661 1.411229,-7.22605 -6.672804 1.68754,-8.449571 -5.79002 0.7929167,-8.170502 -4.382562 0.9373104,-8.036375 -3.491206 1.143252,-7.938094 -2.721098 1.305415,-8.905798 -5.443563 0.8713234,-8.664602 -3.769575 0.9573422,-8.508882 -2.734077 1.217343,-8.401857 -1.839912 1.434947,-9.365135 -5.429354 0.990914,-9.186636 -3.848821 1.085347,-9.044246 -2.89393 1.262469,-8.923744 -2.098164 1.407759,-9.853407 -5.71931 1.134371,-9.840672 -4.482168 1.240665,-9.808065 -3.713645 1.348111,-9.754262 -2.992455 1.438596,1.510, 10
-0.9553814 -8.83675 0.7593656,-1.656123 -8.441898 1.473048,-2.185195 -7.568458 1.85034,-2.371537 -6.662361 2.210052,-2.623657 -5.865817 2.623203,-1.953691 -5.570667 1.280374,-2.200995 -4.29785 1.598547,-2.314494 -3.529446 1.882814,-2.380835 -2.763624 2.125218,-1.470592 -5.372176 1.2251,-1.572383 -4.060542 1.695749,-1.572383 -4.060542 1.695749,-1.516204 -2.982336 2.34186,-1.031179 -5.426017 1.282728,-1.079891 -4.171573 1.7039,-1.068629 -3.509284 2.172084,-1.05367 -3.063226 2.459925,-0.5781555 -5.686651 1.397139,-0.5663538 -4.632894 1.78319,-0.5447922 -4.020442 2.097925,-0.5309496 -3.487125 2.324843,-9.781821 -9.520765 0.8024268,-8.934581 -9.138342 1.065459,-8.17328 -8.200773 1.287908,-7.691593 -7.256761 1.586101,-7.264116 -6.738985 1.888571,-8.494989 -5.823657 0.8875223,-8.223409 -4.404864 1.038206,-8.090695 -3.520592 1.248041,-7.984634 -2.746649 1.407649,-8.950403 -5.486121 0.975898,-8.728396 -3.812084 1.066902,-8.580751 -2.794315 1.329487,-8.470695 -1.904349 1.539987,-9.409724 -5.484307 1.112321,-9.256549 -3.899473 1.228308,-9.120303 -2.952182 1.426614,-8.993653 -2.147729 1.573178,-9.899323 -5.785159 1.273134,-9.913 -4.540403 1.414058,-9.888976 -3.758473 1.545424,-9.836459 -3.013541 1.639056,1.610, 10
